"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"SC Williams (Zim)","70","86","65","8","1","107.69","2","","v Afghanistan","Bulawayo","18 Jul 2014",""
"H Masakadza (Zim)","70","142","91","6","1","76.92","2","","v Australia","Harare","25 Aug 2014",""
"GJ Bailey (Aus)","70","106","75","3","3","93.33","1","","v South Africa","Perth","14 Nov 2014",""
"DA Miller (SA)","70","87","68","7","2","102.94","1","","v West Indies","Durban","16 Jan 2015",""
"JE Root (Eng)","69","101","70","6","0","98.57","1","","v Australia","Hobart","23 Jan 2015",""
"MJ Clarke (Aus)","68*","142","102","2","0","66.66","1","","v Zimbabwe","Harare","31 Aug 2014",""
"S Dhawan (India)","68","146","92","9","0","73.91","2","","v West Indies","Kochi","8 Oct 2014",""
"AM Rahane (India)","68","102","79","7","0","86.07","1","","v West Indies","Dharamsala","17 Oct 2014",""
"JWA Taylor (Eng)","68","103","90","5","1","75.55","2","","v Sri Lanka","Pallekele","10 Dec 2014",""
"TM Dilshan (SL)","68","134","105","8","0","64.76","1","","v England","Pallekele","13 Dec 2014",""
"MN Samuels (WI)","68","146","93","5","2","73.11","2","","v South Africa","Port Elizabeth","25 Jan 2015",""
"KC Sangakkara (SL)","67*","127","93","8","0","72.04","2","","v England","Colombo (RPS)","29 Nov 2014",""
"KC Sangakkara (SL)","67","103","65","8","0","103.07","1","","v Pakistan","Fatullah","25 Feb 2014",""
"AJ Finch (Aus)","67","118","79","5","3","84.81","1","","v Zimbabwe","Harare","25 Aug 2014",""
"DPMD Jayawardene (SL)","67","103","74","8","0","90.54","1","","v Pakistan","Hambantota","26 Aug 2014",""
"MM Ali (Eng)","67","51","50","4","3","134.00","1","","v India","Birmingham","2 Sep 2014",""
"KJ O'Brien (Ire)","67","-","65","9","0","103.07","2","","v Scotland","Dublin","10 Sep 2014",""
"F du Plessis (SA)","67","81","73","3","2","91.78","1","","v New Zealand","Mount Maunganui","24 Oct 2014",""
"MR Marsh (Aus)","67","121","88","3","2","76.13","1","","v South Africa","Perth","16 Nov 2014",""
"SPD Smith (Aus)","67","103","74","6","1","90.54","2","","v South Africa","Sydney","23 Nov 2014",""
"Amjad Ali (UAE)","67","-","79","11","0","84.81","2","","v Afghanistan","Dubai (CA)","28 Nov 2014",""
"Javed Ahmadi (Afg)","67","-","45","11","1","148.88","2","","v U.A.E.","Dubai (CA)","2 Dec 2014",""
"JC Buttler (Eng)","67","98","78","7","0","85.89","2","","v India","Perth","30 Jan 2015",""
"Shahid Afridi (Pak)","67","39","29","9","3","231.03","1","","v New Zealand","Wellington","31 Jan 2015",""
"Shaiman Anwar (UAE)","67","59","50","9","1","134.00","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"MJ Guptill (NZ)","66*","116","78","4","3","84.61","1","","v Sri Lanka","Auckland","17 Jan 2015",""
"GJ Bailey (Aus)","66","81","54","3","3","122.22","1","","v South Africa","Harare","27 Aug 2014",""
"HM Amla (SA)","66","102","80","5","1","82.50","1","","v Zimbabwe","Harare","29 Aug 2014",""
"V Kohli (India)","66","109","64","6","0","103.12","1","","v Sri Lanka","Kolkata","13 Nov 2014",""
"AR Berenger (UAE)","66","-","72","10","0","91.66","1","","v Afghanistan","Dubai (CA)","4 Dec 2014",""
"HM Amla (SA)","66","87","66","10","0","100.00","1","","v West Indies","Durban","16 Jan 2015",""
"GJ Maxwell (Aus)","66","63","40","11","0","165.00","1","","v England","Melbourne","14 Feb 2015",""
"VV Morea (PNG)","65*","-","68","5","0","95.58","2","","v Hong Kong","Townsville","9 Nov 2014",""
"LMP Simmons (WI)","65","116","94","6","0","69.14","1","","v England","North Sound","28 Feb 2014",""
"Misbah-ul-Haq (Pak)","65","138","98","3","2","66.32","1","","v Sri Lanka","Dhaka","8 Mar 2014",""
"Samiullah Shenwari (Afg)","65","115","84","3","1","77.38","1","","v Zimbabwe","Bulawayo","18 Jul 2014",""
"NLTC Perera (SL)","65","63","36","5","4","180.55","1","","v Pakistan","Hambantota","26 Aug 2014",""
"Sarfraz Ahmed (Pak)","65","111","72","5","1","90.27","1","","v Australia","Dubai (DSC)","10 Oct 2014",""
"DA Miller (SA)","65","83","65","5","1","100.00","2","","v Australia","Perth","14 Nov 2014",""
"Mushfiqur Rahim (Ban)","65","119","72","2","2","90.27","1","","v Zimbabwe","Chittagong","21 Nov 2014",""
"RS Bopara (Eng)","65","102","62","4","2","104.83","2","","v Sri Lanka","Colombo (RPS)","26 Nov 2014",""
"Haris Sohail (Pak)","65","104","74","5","1","87.83","2","","v New Zealand","Abu Dhabi","19 Dec 2014",""
"BB McCullum (NZ)","65","68","49","10","1","132.65","1","","v Sri Lanka","Christchurch","14 Feb 2015",""
"HDRL Thirimanne (SL)","65","90","60","8","0","108.33","2","","v New Zealand","Christchurch","14 Feb 2015",""
"AT Rayudu (India)","64*","101","78","6","0","82.05","2","","v England","Nottingham","30 Aug 2014",""
"AD Russell (WI)","64*","66","40","5","5","160.00","2","","v South Africa","Port Elizabeth","25 Jan 2015",""
"GD Elliott (NZ)","64*","88","68","8","0","94.11","2","","v Pakistan","Wellington","31 Jan 2015",""
"LD Chandimal (SL)","64","98","70","4","0","91.42","2","","v Bangladesh","Dhaka","22 Feb 2014",""
"MDKJ Perera (SL)","64","103","81","4","2","79.01","2","","v India","Fatullah","28 Feb 2014",""
