"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"RW Chakabva (Zim)","9","33","17","0","0","52.94","2","","v Bangladesh","Chittagong","21 Nov 2014",""
"V Sibanda (Zim)","9","10","6","2","0","150.00","2","","v Bangladesh","Dhaka","26 Nov 2014",""
"Usman Ghani (Afg)","9","-","33","0","0","27.27","1","","v U.A.E.","Dubai (CA)","28 Nov 2014",""
"MDKJ Perera (SL)","9","17","10","1","0","90.00","2","","v England","Colombo (RPS)","29 Nov 2014",""
"Sikandar Raza (Zim)","9","21","14","2","0","64.28","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"BRM Taylor (Zim)","9","11","11","1","0","81.81","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"SF Mire (Zim)","9","22","16","0","1","56.25","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"Shaiman Anwar (UAE)","9","-","12","1","0","75.00","1","","v Afghanistan","Dubai (CA)","2 Dec 2014",""
"Asghar Stanikzai (Afg)","9","-","15","1","0","60.00","2","","v U.A.E.","Dubai (CA)","2 Dec 2014",""
"GC Wilson (Ire)","9","-","18","1","0","50.00","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"Mohammad Nabi (Afg)","9","-","21","0","0","42.85","1","","v Ireland","Dubai (DSC)","17 Jan 2015",""
"V Kohli (India)","9","24","16","0","0","56.25","1","","v Australia","Melbourne","18 Jan 2015",""
"KC Sangakkara (SL)","9","29","17","0","0","52.94","2","","v New Zealand","Dunedin","23 Jan 2015",""
"DPMD Jayawardene (SL)","9","27","18","1","0","50.00","2","","v New Zealand","Dunedin","25 Jan 2015",""
"LD Chandimal (SL)","9","9","12","1","0","75.00","2","","v New Zealand","Dunedin","25 Jan 2015",""
"Younis Khan (Pak)","9","51","26","1","0","34.61","1","","v New Zealand","Wellington","31 Jan 2015",""
"BJ Haddin (Aus)","9","17","12","1","0","75.00","1","","v England","Perth","1 Feb 2015",""
"Bilawal Bhatti (Pak)","9","16","11","1","0","81.81","2","","v New Zealand","Napier","3 Feb 2015",""
"A Balbirnie (Ire)","9","13","9","2","0","100.00","2","","v West Indies","Nelson","16 Feb 2015",""
"LRPL Taylor (NZ)","9","15","14","1","0","64.28","2","","v Scotland","Dunedin","17 Feb 2015",""
"SF Mire (Zim)","9","21","22","0","0","40.90","2","","v U.A.E.","Nelson","19 Feb 2015",""
"JO Holder (WI)","8*","7","4","0","1","200.00","1","","v Bangladesh","St George's","22 Aug 2014",""
"NM Lyon (Aus)","8*","5","3","0","1","266.66","1","","v Zimbabwe","Harare","31 Aug 2014",""
"JC Tredwell (Eng)","8*","11","5","1","0","160.00","1","","v India","Leeds","5 Sep 2014",""
"MS Wade (Aus)","8*","12","6","0","0","133.33","1","","v South Africa","Canberra","19 Nov 2014",""
"DL Vettori (NZ)","8*","9","4","1","0","200.00","2","","v Scotland","Dunedin","17 Feb 2015",""
"Abdur Rehman (Pak)","8","12","8","0","0","100.00","2","","v Bangladesh","Dhaka","4 Mar 2014",""
"Sharjeel Khan (Pak)","8","5","6","2","0","133.33","1","","v Sri Lanka","Dhaka","8 Mar 2014",""
"Waqas Barkat (HK)","8","-","9","1","0","88.88","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"Shaiman Anwar (UAE)","8","-","4","2","0","200.00","2","","v Afghanistan","Kuala Lumpur","2 May 2014",""
"HDRL Thirimanne (SL)","8","-","24","0","0","33.33","1","","v Ireland","Dublin","6 May 2014",""
"KJ Coetzer (Scot)","8","28","14","1","0","57.14","2","","v England","Aberdeen","9 May 2014",""
"KC Sangakkara (SL)","8","19","13","2","0","61.53","2","","v England","The Oval","22 May 2014",""
"LD Chandimal (SL)","8","11","8","1","0","100.00","2","","v England","The Oval","22 May 2014",""
"AR Patel (India)","8","5","5","2","0","160.00","1","","v Bangladesh","Dhaka","17 Jun 2014",""
"Asghar Stanikzai (Afg)","8","41","32","1","0","25.00","1","","v Zimbabwe","Bulawayo","18 Jul 2014",""
"Shamsur Rahman (Ban)","8","12","14","1","0","57.14","1","","v West Indies","St George's","20 Aug 2014",""
"SW Poynter (Ire)","8","-","16","1","0","50.00","2","","v Scotland","Dublin","10 Sep 2014",""
"Anwar Ali (Pak)","8","27","21","1","0","38.09","2","","v Australia","Sharjah","7 Oct 2014",""
"MS Dhoni (India)","8","37","21","0","0","38.09","2","","v West Indies","Kochi","8 Oct 2014",""
"MM Sharma (India)","8","8","7","2","0","114.28","2","","v West Indies","Kochi","8 Oct 2014",""
"F du Plessis (SA)","8","27","23","1","0","34.78","2","","v New Zealand","Mount Maunganui","21 Oct 2014",""
"AM Rahane (India)","8","-","19","1","0","42.10","2","","v Sri Lanka","Ahmedabad","6 Nov 2014",""
"KD Shah (HK)","8","-","19","1","0","42.10","1","","v P.N.G.","Townsville","9 Nov 2014",""
"AT Rayudu (India)","8","24","19","0","0","42.10","1","","v Sri Lanka","Kolkata","13 Nov 2014",""
"HM Amla (SA)","8","22","13","1","0","61.53","2","","v Australia","Perth","14 Nov 2014",""
"AJ Finch (Aus)","8","22","14","0","1","57.14","1","","v South Africa","Perth","16 Nov 2014",""
"BRM Taylor (Zim)","8","26","19","0","0","42.10","2","","v Bangladesh","Chittagong","23 Nov 2014",""
"T Panyangara (Zim)","8","40","31","1","0","25.80","2","","v Bangladesh","Chittagong","23 Nov 2014",""
"T Maruma (Zim)","8","28","16","2","0","50.00","2","","v Bangladesh","Dhaka","26 Nov 2014",""
"Gulbadin Naib (Afg)","8","-","6","0","1","133.33","1","","v U.A.E.","Dubai (CA)","28 Nov 2014",""
"Amjad Ali (UAE)","8","-","8","2","0","100.00","2","","v Afghanistan","Dubai (CA)","30 Nov 2014",""
"Anamul Haque (Ban)","8","25","13","2","0","61.53","2","","v Zimbabwe","Dhaka","1 Dec 2014",""
"NLTC Perera (SL)","8","14","10","0","1","80.00","1","","v England","Hambantota","3 Dec 2014",""
"HDRL Thirimanne (SL)","8","25","19","1","0","42.10","1","","v England","Pallekele","10 Dec 2014",""
"MJ Guptill (NZ)","8","10","9","1","0","88.88","1","","v Pakistan","Abu Dhabi","19 Dec 2014",""
"Nasir Jamal (Afg)","8","-","19","0","0","42.10","1","","v Ireland","Dubai (DSC)","10 Jan 2015",""
"Asghar Stanikzai (Afg)","8","-","16","1","0","50.00","1","","v Ireland","Dubai (DSC)","10 Jan 2015",""
"CR Woakes (Eng)","8","23","13","0","0","61.53","1","","v Australia","Sydney","16 Jan 2015",""
"WTS Porterfield (Ire)","8","-","18","1","0","44.44","2","","v Afghanistan","Dubai (DSC)","17 Jan 2015",""
"LRPL Taylor (NZ)","8","29","23","0","0","34.78","2","","v Sri Lanka","Nelson","20 Jan 2015",""
"MM Ali (Eng)","8","13","12","1","0","66.66","2","","v India","Brisbane","20 Jan 2015",""
"CJ Anderson (NZ)","8","10","12","2","0","66.66","1","","v Sri Lanka","Dunedin","23 Jan 2015",""
"S Dhawan (India)","8","24","13","0","0","61.53","1","","v Australia","Sydney","26 Jan 2015",""
"V Kohli (India)","8","26","19","0","0","42.10","1","","v England","Perth","30 Jan 2015",""
"IR Bell (Eng)","8","13","9","2","0","88.88","2","","v Australia","Perth","1 Feb 2015",""
"JM Anderson (Eng)","8","26","11","1","0","72.72","2","","v Australia","Melbourne","14 Feb 2015",""
"SC Williams (Zim)","8","26","13","1","0","61.53","2","","v South Africa","Hamilton","15 Feb 2015",""
"E Chigumbura (Zim)","8","13","7","0","1","114.28","2","","v South Africa","Hamilton","15 Feb 2015",""
"IR Bell (Eng)","8","18","17","1","0","47.05","1","","v New Zealand","Wellington","20 Feb 2015",""
"Imran Tahir (SA)","8","11","10","1","0","80.00","2","","v India","Melbourne","22 Feb 2015",""
"SMSM Senanayake (SL)","7*","9","6","1","0","116.66","2","","v Bangladesh","Dhaka","6 Mar 2014",""
"KTGD Prasad (SL)","7*","5","6","0","0","116.66","1","","v England","Chester-le-Street","25 May 2014",""
"SP Narine (WI)","7*","6","4","0","1","175.00","1","","v Bangladesh","St George's","22 Aug 2014",""
"JNT Vare (PNG)","7*","-","7","0","0","100.00","2","","v Hong Kong","Townsville","8 Nov 2014",""
"Rubel Hossain (Ban)","7*","5","5","1","0","140.00","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"Shapoor Zadran (Afg)","7*","-","3","0","1","233.33","2","","v U.A.E.","Dubai (CA)","2 Dec 2014",""
"AF Milne (NZ)","7*","10","11","1","0","63.63","2","","v Sri Lanka","Christchurch","11 Jan 2015",""
"AR Cusack (Ire)","7*","-","14","1","0","50.00","2","","v Scotland","Dubai (DSC)","12 Jan 2015",""
"DL Vettori (NZ)","7*","14","4","1","0","175.00","2","","v Sri Lanka","Nelson","20 Jan 2015",""
"MM Sharma (India)","7*","23","6","1","0","116.66","1","","v England","Perth","30 Jan 2015",""
"RAS Lakmal (SL)","7*","21","17","0","0","41.17","2","","v New Zealand","Christchurch","14 Feb 2015",""
"Shamsur Rahman (Ban)","7","20","12","1","0","58.33","1","","v India","Fatullah","26 Feb 2014",""
"Mohammad Nabi (Afg)","7","15","15","0","0","46.66","1","","v Bangladesh","Fatullah","1 Mar 2014",""
"Mohammad Shahzad (Afg)","7","8","7","0","1","100.00","2","","v Sri Lanka","Dhaka","3 Mar 2014",""
"Rahmat Shah (Afg)","7","-","13","0","0","53.84","1","","v U.A.E.","Kuala Lumpur","2 May 2014",""
"RS Bopara (Eng)","7","36","24","1","0","29.16","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"JM Anderson (Eng)","7","17","14","1","0","50.00","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"HDRL Thirimanne (SL)","7","20","16","1","0","43.75","1","","v England","Manchester","28 May 2014",""
"DPMD Jayawardene (SL)","7","20","14","1","0","50.00","1","","v England","Lord's","31 May 2014",""
"IR Bell (Eng)","7","17","8","1","0","87.50","2","","v Sri Lanka","Lord's","31 May 2014",""
"MDKJ Perera (SL)","7","17","9","1","0","77.77","1","","v South Africa","Pallekele","9 Jul 2014",""
"KC Sangakkara (SL)","7","29","9","1","0","77.77","1","","v South Africa","Pallekele","9 Jul 2014",""
"Javed Ahmadi (Afg)","7","14","13","1","0","53.84","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"V Sibanda (Zim)","7","15","12","1","0","58.33","2","","v South Africa","Bulawayo","17 Aug 2014",""
"H Masakadza (Zim)","7","30","24","1","0","29.16","2","","v South Africa","Bulawayo","19 Aug 2014",""
"E Chigumbura (Zim)","7","24","13","0","0","53.84","2","","v South Africa","Bulawayo","19 Aug 2014",""
"DM Bravo (WI)","7","19","14","1","0","50.00","2","","v Bangladesh","St George's","20 Aug 2014",""
"Anamul Haque (Ban)","7","21","8","0","1","87.50","2","","v West Indies","St George's","22 Aug 2014",""
"GJ Maxwell (Aus)","7","18","8","1","0","87.50","1","","v South Africa","Harare","27 Aug 2014",""
"Umar Akmal (Pak)","7","11","9","0","1","77.77","1","","v Sri Lanka","Dambulla","30 Aug 2014",""
"Sohaib Maqsood (Pak)","7","18","9","1","0","77.77","1","","v Sri Lanka","Dambulla","30 Aug 2014",""
"GS Ballance (Eng)","7","17","19","1","0","36.84","1","","v India","Birmingham","2 Sep 2014",""
"Q de Kock (SA)","7","12","7","1","0","100.00","2","","v Australia","Harare","6 Sep 2014",""
"FRJ Coleman (Scot)","7","-","11","0","1","63.63","1","","v Ireland","Dublin","10 Sep 2014",""
"RM Haq (Scot)","7","-","12","1","0","58.33","1","","v Ireland","Dublin","10 Sep 2014",""
"SW Poynter (Ire)","7","-","14","0","0","50.00","1","","v Scotland","Dublin","12 Sep 2014",""
"Fawad Alam (Pak)","7","37","25","0","0","28.00","2","","v Australia","Sharjah","7 Oct 2014",""
"DA Miller (SA)","7","29","10","0","0","70.00","1","","v New Zealand","Mount Maunganui","24 Oct 2014",""
"KMDN Kulasekara (SL)","7","-","12","0","0","58.33","1","","v India","Hyderabad (Deccan)","9 Nov 2014",""
"T Panyangara (Zim)","7","20","9","1","0","77.77","2","","v Bangladesh","Chittagong","21 Nov 2014",""
"GJ Maxwell (Aus)","7","16","10","0","0","70.00","2","","v South Africa","Sydney","23 Nov 2014",""
"CR Woakes (Eng)","7","14","11","1","0","63.63","2","","v Sri Lanka","Colombo (RPS)","26 Nov 2014",""
"JC Buttler (Eng)","7","19","14","0","0","50.00","1","","v Sri Lanka","Colombo (RPS)","29 Nov 2014",""
"Usman Ghani (Afg)","7","-","15","0","0","46.66","1","","v U.A.E.","Dubai (CA)","30 Nov 2014",""
"AR Berenger (UAE)","7","-","5","1","0","140.00","2","","v Afghanistan","Dubai (CA)","30 Nov 2014",""
"AD Hales (Eng)","7","17","15","0","0","46.66","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"Asad Shafiq (Pak)","7","15","13","0","0","53.84","2","","v New Zealand","Abu Dhabi","19 Dec 2014",""
"WTS Porterfield (Ire)","7","-","16","0","0","43.75","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"SMSM Senanayake (SL)","7","11","11","1","0","63.63","1","","v New Zealand","Christchurch","11 Jan 2015",""
"DL Vettori (NZ)","7","13","8","1","0","87.50","1","","v Sri Lanka","Hamilton","15 Jan 2015",""
"RR Rossouw (SA)","7","24","14","1","0","50.00","2","","v West Indies","East London","21 Jan 2015",""
"RS Bopara (Eng)","7","23","16","0","0","43.75","1","","v Australia","Hobart","23 Jan 2015",""
"STR Binny (India)","7","16","12","1","0","58.33","1","","v England","Perth","30 Jan 2015",""
"Q de Kock (SA)","7","16","16","1","0","43.75","1","","v Zimbabwe","Hamilton","15 Feb 2015",""
"Sohail Khan (Pak)","7","21","10","1","0","70.00","2","","v India","Adelaide","15 Feb 2015",""
"Amjad Ali (UAE)","7","23","17","1","0","41.17","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"Misbah-ul-Haq (Pak)","7","34","21","1","0","33.33","2","","v West Indies","Christchurch","21 Feb 2015",""
"KC Sangakkara (SL)","7","28","13","1","0","53.84","2","","v Afghanistan","Dunedin","22 Feb 2015",""
"Q de Kock (SA)","7","15","15","1","0","46.66","2","","v India","Melbourne","22 Feb 2015",""
"PC de Silva (SL)","6*","11","9","1","0","66.66","2","","v Pakistan","Dhaka","8 Mar 2014",""
"CJ Jordan (Eng)","6*","1","1","0","1","600.00","1","","v Scotland","Aberdeen","9 May 2014",""
"SL Malinga (SL)","6*","5","4","0","1","150.00","2","","v South Africa","Colombo (RPS)","6 Jul 2014",""
"TL Chatara (Zim)","6*","7","5","1","0","120.00","2","","v Australia","Harare","25 Aug 2014",""
"TL Chatara (Zim)","6*","14","10","1","0","60.00","2","","v South Africa","Harare","29 Aug 2014",""
"WP Saha (India)","6*","-","10","1","0","60.00","2","","v Sri Lanka","Hyderabad (Deccan)","9 Nov 2014",""
"JP Faulkner (Aus)","6*","17","5","1","0","120.00","2","","v South Africa","Sydney","23 Nov 2014",""
"MJ McClenaghan (NZ)","6*","15","9","1","0","66.66","2","","v Pakistan","Sharjah","14 Dec 2014",""
"HF Gurney (Eng)","6*","16","11","0","0","54.54","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"KMDN Kulasekara (SL)","6*","16","4","0","0","150.00","1","","v New Zealand","Christchurch","11 Jan 2015",""
"JP Faulkner (Aus)","6*","6","4","1","0","150.00","2","","v England","Sydney","16 Jan 2015",""
"DW Steyn (SA)","6*","17","13","1","0","46.15","1","","v West Indies","Durban","16 Jan 2015",""
"JF Mooney (Ire)","6*","9","5","1","0","120.00","2","","v West Indies","Nelson","16 Feb 2015",""
"NLTC Perera (SL)","6","16","9","0","0","66.66","1","","v Pakistan","Fatullah","25 Feb 2014",""
"Shahid Afridi (Pak)","6","10","11","0","0","54.54","1","","v Afghanistan","Fatullah","27 Feb 2014",""
"AD Mathews (SL)","6","21","18","0","0","33.33","2","","v India","Fatullah","28 Feb 2014",""
"Samiullah Shenwari (Afg)","6","22","19","0","0","31.57","2","","v Sri Lanka","Dhaka","3 Mar 2014",""
"Mohammad Nabi (Afg)","6","24","20","0","0","30.00","1","","v India","Dhaka","5 Mar 2014",""
"Fayyaz Ahmed (UAE)","6","-","6","1","0","100.00","2","","v Afghanistan","Kuala Lumpur","2 May 2014",""
"Nadeem Ahmed (HK)","6","-","9","0","0","66.66","1","","v U.A.E.","Kuala Lumpur","4 May 2014",""
"Krishna Chandran (UAE)","6","-","17","1","0","35.29","2","","v Hong Kong","Kuala Lumpur","4 May 2014",""
"MA Carberry (Eng)","6","11","8","0","0","75.00","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"LD Chandimal (SL)","6","21","15","0","0","40.00","1","","v England","Manchester","28 May 2014",""
"Mominul Haque (Ban)","6","27","17","0","0","35.29","1","","v India","Dhaka","15 Jun 2014",""
"SMSM Senanayake (SL)","6","9","5","1","0","120.00","2","","v South Africa","Colombo (RPS)","6 Jul 2014",""
"BRM Taylor (Zim)","6","11","10","0","0","60.00","2","","v South Africa","Bulawayo","17 Aug 2014",""
"SW Masakadza (Zim)","6","8","8","1","0","75.00","2","","v South Africa","Bulawayo","17 Aug 2014",""
"LM Jongwe (Zim)","6","26","16","0","0","37.50","2","","v South Africa","Bulawayo","19 Aug 2014",""
"DJ Bravo (WI)","6","10","5","1","0","120.00","1","","v Bangladesh","St George's","22 Aug 2014",""
"Mushfiqur Rahim (Ban)","6","23","16","0","0","37.50","2","","v West Indies","St George's","22 Aug 2014",""
"Nasir Hossain (Ban)","6","21","13","0","0","46.15","2","","v West Indies","St George's","22 Aug 2014",""
"TM Dilshan (SL)","6","24","14","1","0","42.85","1","","v Pakistan","Hambantota","23 Aug 2014",""
"LD Chandimal (SL)","6","19","14","1","0","42.85","1","","v Pakistan","Hambantota","23 Aug 2014",""
"LMP Simmons (WI)","6","13","12","1","0","50.00","1","","v Bangladesh","Basseterre","25 Aug 2014",""
"CH Gayle (WI)","6","17","17","1","0","35.29","1","","v Bangladesh","Basseterre","25 Aug 2014",""
"R McLaren (SA)","6","34","20","0","0","30.00","1","","v Zimbabwe","Harare","29 Aug 2014",""
"KJ Abbott (SA)","6","25","13","0","0","46.15","1","","v Zimbabwe","Harare","29 Aug 2014",""
"Saeed Ajmal (Pak)","6","13","15","1","0","40.00","1","","v Sri Lanka","Dambulla","30 Aug 2014",""
"ST Finn (Eng)","6","17","8","0","0","75.00","1","","v India","Nottingham","30 Aug 2014",""
"AB de Villiers (SA)","6","23","19","0","0","31.57","2","","v Australia","Harare","2 Sep 2014",""
"AD Hales (Eng)","6","17","7","1","0","85.71","1","","v India","Birmingham","2 Sep 2014",""
"BJ Haddin (Aus)","6","37","19","0","0","31.57","1","","v South Africa","Harare","6 Sep 2014",""
"MG Johnson (Aus)","6","9","6","1","0","100.00","1","","v South Africa","Harare","6 Sep 2014",""
"WD Parnell (SA)","6","23","24","1","0","25.00","2","","v Australia","Harare","6 Sep 2014",""
"A Balbirnie (Ire)","6","-","31","1","0","19.35","1","","v Scotland","Dublin","12 Sep 2014",""
"AR White (Ire)","6","-","14","0","0","42.85","1","","v Scotland","Dublin","12 Sep 2014",""
"Zulfiqar Babar (Pak)","6","12","11","0","0","54.54","1","","v Australia","Dubai (DSC)","10 Oct 2014",""
"RA Jadeja (India)","6","21","16","0","0","37.50","1","","v West Indies","Delhi","11 Oct 2014",""
"Shahid Afridi (Pak)","6","15","12","1","0","50.00","2","","v Australia","Abu Dhabi","12 Oct 2014",""
"MS Dhoni (India)","6","10","5","0","0","120.00","1","","v West Indies","Dharamsala","17 Oct 2014",""
"KA Pollard (WI)","6","36","31","0","0","19.35","2","","v India","Dharamsala","17 Oct 2014",""
"NL McCullum (NZ)","6","20","16","0","0","37.50","1","","v South Africa","Mount Maunganui","21 Oct 2014",""
"Irfan Ahmed (HK)","6","-","7","1","0","85.71","1","","v P.N.G.","Townsville","8 Nov 2014",""
"A Vala (PNG)","6","-","7","0","0","85.71","2","","v Hong Kong","Townsville","9 Nov 2014",""
"DW Steyn (SA)","6","18","12","1","0","50.00","2","","v Australia","Perth","14 Nov 2014",""
"NLTC Perera (SL)","6","15","5","1","0","120.00","1","","v India","Ranchi","16 Nov 2014",""
"Mashrafe Mortaza (Ban)","6","17","9","0","0","66.66","1","","v Zimbabwe","Chittagong","23 Nov 2014",""
"JC Tredwell (Eng)","6","18","11","0","0","54.54","2","","v Sri Lanka","Colombo (RPS)","26 Nov 2014",""
"T Maruma (Zim)","6","25","19","0","0","31.57","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"RS Bopara (Eng)","6","4","3","0","1","200.00","2","","v Sri Lanka","Hambantota","3 Dec 2014",""
"Saqib Ali (UAE)","6","-","14","0","0","42.85","1","","v Afghanistan","Dubai (CA)","4 Dec 2014",""
"Hamid Hassan (Afg)","6","-","6","1","0","100.00","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"Shapoor Zadran (Afg)","6","-","11","1","0","54.54","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"BA Stokes (Eng)","6","18","6","1","0","100.00","1","","v Sri Lanka","Colombo (RPS)","7 Dec 2014",""
"CR Woakes (Eng)","6","10","9","0","0","66.66","1","","v Sri Lanka","Colombo (RPS)","7 Dec 2014",""
"Mohammad Hafeez (Pak)","6","22","17","0","0","35.29","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"Younis Khan (Pak)","6","9","6","1","0","100.00","1","","v New Zealand","Sharjah","12 Dec 2014",""
"Umar Akmal (Pak)","6","11","12","0","0","50.00","2","","v New Zealand","Abu Dhabi","19 Dec 2014",""
"Usman Ghani (Afg)","6","-","6","1","0","100.00","1","","v Ireland","Dubai (DSC)","17 Jan 2015",""
"TWM Latham (NZ)","6","19","9","1","0","66.66","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"Ehsan Adil (Pak)","6","14","8","1","0","75.00","1","","v New Zealand","Wellington","31 Jan 2015",""
"ST Finn (Eng)","6","40","36","0","0","16.66","2","","v Australia","Perth","1 Feb 2015",""
"Haris Sohail (Pak)","6","8","6","1","0","100.00","2","","v New Zealand","Napier","3 Feb 2015",""
"TL Chatara (Zim)","6","21","11","1","0","54.54","2","","v South Africa","Hamilton","15 Feb 2015",""
"Younis Khan (Pak)","6","13","10","1","0","60.00","2","","v India","Adelaide","15 Feb 2015",""
"SK Raina (India)","6","6","5","1","0","120.00","1","","v South Africa","Melbourne","22 Feb 2015",""
"JP Duminy (SA)","6","16","15","0","0","40.00","2","","v India","Melbourne","22 Feb 2015",""
"BAW Mendis (SL)","5*","5","2","1","0","250.00","2","","v India","Fatullah","28 Feb 2014",""
"RS Bopara (Eng)","5*","7","5","1","0","100.00","1","","v West Indies","North Sound","5 Mar 2014",""
"Shapoor Zadran (Afg)","5*","17","8","0","0","62.50","2","","v Zimbabwe","Bulawayo","22 Jul 2014",""
"JP Faulkner (Aus)","5*","18","5","1","0","100.00","1","","v Zimbabwe","Harare","25 Aug 2014",""
"Abdur Razzak (Ban)","5*","4","5","1","0","100.00","2","","v West Indies","Basseterre","25 Aug 2014",""
"KMDN Kulasekara (SL)","5*","15","6","0","0","83.33","1","","v Pakistan","Hambantota","26 Aug 2014",""
"Rubel Hossain (Ban)","5*","18","8","0","0","62.50","1","","v Zimbabwe","Chittagong","23 Nov 2014",""
"KTGD Prasad (SL)","5*","15","5","0","0","100.00","1","","v England","Pallekele","10 Dec 2014",""
"RMS Eranga (SL)","5*","3","4","1","0","125.00","1","","v New Zealand","Christchurch","11 Jan 2015",""
"I Wardlaw (Scot)","5*","-","8","0","0","62.50","1","","v Ireland","Dubai (DSC)","12 Jan 2015",""
"Mirwais Ashraf (Afg)","5*","-","5","0","0","100.00","1","","v Ireland","Dubai (DSC)","17 Jan 2015",""
"F Behardien (SA)","5*","4","2","1","0","250.00","1","","v West Indies","Centurion","28 Jan 2015",""
"MJ McClenaghan (NZ)","5*","13","6","1","0","83.33","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"JM Anderson (Eng)","5*","2","2","1","0","250.00","2","","v Australia","Perth","1 Feb 2015",""
"LRPL Taylor (NZ)","5*","14","5","1","0","100.00","2","","v England","Wellington","20 Feb 2015",""
"R Ashwin (India)","5*","14","5","0","0","100.00","1","","v South Africa","Melbourne","22 Feb 2015",""
"Mahmudullah (Ban)","5","17","12","0","0","41.66","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"KOA Powell (WI)","5","21","14","0","0","35.71","1","","v England","North Sound","28 Feb 2014",""
"BA Stokes (Eng)","5","10","7","0","0","71.42","2","","v West Indies","North Sound","28 Feb 2014",""
"V Kohli (India)","5","29","11","0","0","45.45","1","","v Pakistan","Dhaka","2 Mar 2014",""
"DR Smith (WI)","5","9","9","0","0","55.55","1","","v England","North Sound","2 Mar 2014",""
"D Ramdin (WI)","5","10","10","1","0","50.00","1","","v England","North Sound","2 Mar 2014",""
"HDRL Thirimanne (SL)","5","20","16","0","0","31.25","1","","v Afghanistan","Dhaka","3 Mar 2014",""
"Nawroz Mangal (Afg)","5","22","16","1","0","31.25","1","","v India","Dhaka","5 Mar 2014",""
"Asghar Stanikzai (Afg)","5","9","7","0","0","71.42","1","","v India","Dhaka","5 Mar 2014",""
"Najibullah Zadran (Afg)","5","20","14","0","0","35.71","1","","v India","Dhaka","5 Mar 2014",""
"Ahmed Shehzad (Pak)","5","18","7","1","0","71.42","1","","v Sri Lanka","Dhaka","8 Mar 2014",""
"SP Patil (UAE)","5","-","20","1","0","25.00","2","","v Hong Kong","Kuala Lumpur","4 May 2014",""
"KDK Vithanage (SL)","5","-","5","1","0","100.00","1","","v Ireland","Dublin","6 May 2014",""
"GS Ballance (Eng)","5","17","7","1","0","71.42","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"KMDN Kulasekara (SL)","5","10","13","0","0","38.46","1","","v England","Manchester","28 May 2014",""
"CJ Jordan (Eng)","5","24","10","0","0","50.00","2","","v Sri Lanka","Lord's","31 May 2014",""
"JM Anderson (Eng)","5","15","7","0","0","71.42","1","","v Sri Lanka","Birmingham","3 Jun 2014",""
"WP Saha (India)","5","17","12","1","0","41.66","1","","v Bangladesh","Dhaka","17 Jun 2014",""
"Nasir Hossain (Ban)","5","26","13","0","0","38.46","2","","v India","Dhaka","17 Jun 2014",""
"RV Uthappa (India)","5","21","13","1","0","38.46","1","","v Bangladesh","Dhaka","19 Jun 2014",""
"SMA Priyanjan (SL)","5","11","8","0","0","62.50","2","","v South Africa","Colombo (RPS)","6 Jul 2014",""
"Samiullah Shenwari (Afg)","5","4","6","1","0","83.33","1","","v Zimbabwe","Bulawayo","20 Jul 2014",""
"P Utseya (Zim)","5","13","15","0","0","33.33","2","","v South Africa","Bulawayo","17 Aug 2014",""
"DJ Bravo (WI)","5","7","6","1","0","83.33","2","","v Bangladesh","St George's","20 Aug 2014",""
"Mominul Haque (Ban)","5","10","13","0","0","38.46","2","","v West Indies","Basseterre","25 Aug 2014",""
"Wahab Riaz (Pak)","5","8","6","0","0","83.33","2","","v Sri Lanka","Hambantota","26 Aug 2014",""
"MR Marsh (Aus)","5","19","13","0","0","38.46","1","","v South Africa","Harare","27 Aug 2014",""
"P Utseya (Zim)","5","17","9","0","0","55.55","2","","v South Africa","Harare","29 Aug 2014",""
"Mohammad Irfan (Pak)","5","21","9","1","0","55.55","1","","v Sri Lanka","Dambulla","30 Aug 2014",""
"DW Steyn (SA)","5","18","10","1","0","50.00","2","","v Australia","Harare","2 Sep 2014",""
"Shahid Afridi (Pak)","5","10","7","0","0","71.42","2","","v Australia","Sharjah","7 Oct 2014",""
"Wahab Riaz (Pak)","5","10","10","1","0","50.00","2","","v Australia","Sharjah","7 Oct 2014",""
