"Player.Name","Home.Country","Opposite.Country","runs","Fours","Six"
"AM Rahane","India","Bangladesh",73,7,1
"AM Rahane","India","England",73,3,1
"S Dhawan","India","Pakistan",73,7,1
"Mushfiqur Rahim","Bangladesh","West Indies",72,8,0
"TM Dilshan","Sri Lanka","England",71,5,0
"SK Raina","India","West Indies",71,3,5
"Mushfiqur Rahim","Bangladesh","Afghanistan",71,6,1
"KS Williamson","New Zealand","Pakistan",70,7,0
"LMP Simmons","West Indies","England",70,4,2
"Usman Ghani","Afghanistan","Hong Kong",70,6,4
"SC Williams","Zimbabwe","Afghanistan",70,8,1
"H Masakadza","Zimbabwe","Australia",70,6,1
"GJ Bailey","Australia","South Africa",70,3,3
"DA Miller","South Africa","West Indies",70,7,2
"JE Root","England","Australia",69,6,0
"MJ Clarke","Australia","Zimbabwe",68,2,0
"S Dhawan","India","West Indies",68,9,0
"AM Rahane","India","West Indies",68,7,0
"JWA Taylor","England","Sri Lanka",68,5,1
"TM Dilshan","Sri Lanka","England",68,8,0
"MN Samuels","West Indies","South Africa",68,5,2
"KC Sangakkara","Sri Lanka","England",67,8,0
"KC Sangakkara","Sri Lanka","Pakistan",67,8,0
"AJ Finch","Australia","Zimbabwe",67,5,3
"DPMD Jayawardene","Sri Lanka","Pakistan",67,8,0
"MM Ali","England","India",67,4,3
"KJ O'Brien","Ireland","Scotland",67,9,0
"F du Plessis","South Africa","New Zealand",67,3,2
"MR Marsh","Australia","South Africa",67,3,2
"SPD Smith","Australia","South Africa",67,6,1
"Amjad Ali","U.A.E","Afghanistan",67,11,0
"Javed Ahmadi","Afghanistan","U.A.E.",67,11,1
"JC Buttler","England","India",67,7,0
"Shahid Afridi","Pakistan","New Zealand",67,9,3
"Shaiman Anwar","U.A.E","Zimbabwe",67,9,1
"MJ Guptill","New Zealand","Sri Lanka",66,4,3
"GJ Bailey","Australia","South Africa",66,3,3
"HM Amla","South Africa","Zimbabwe",66,5,1
"V Kohli","India","Sri Lanka",66,6,0
"AR Berenger","U.A.E","Afghanistan",66,10,0
"HM Amla","South Africa","West Indies",66,10,0
"GJ Maxwell","Australia","England",66,11,0
"VV Morea","Papua New Guinea","Hong Kong",65,5,0
"LMP Simmons","West Indies","England",65,6,0
"Misbah-ul-Haq","Pakistan","Sri Lanka",65,3,2
"Samiullah Shenwari","Afghanistan","Zimbabwe",65,3,1
"NLTC Perera","Sri Lanka","Pakistan",65,5,4
"Sarfraz Ahmed","Pakistan","Australia",65,5,1
"DA Miller","South Africa","Australia",65,5,1
"Mushfiqur Rahim","Bangladesh","Zimbabwe",65,2,2
"RS Bopara","England","Sri Lanka",65,4,2
"Haris Sohail","Pakistan","New Zealand",65,5,1
"BB McCullum","New Zealand","Sri Lanka",65,10,1
"HDRL Thirimanne","Sri Lanka","New Zealand",65,8,0
"AT Rayudu","India","England",64,6,0
"AD Russell","West Indies","South Africa",64,5,5
"GD Elliott","New Zealand","Pakistan",64,8,0
"LD Chandimal","Sri Lanka","Bangladesh",64,4,0
"MDKJ Perera","Sri Lanka","India",64,4,2
"GS Ballance","England","Sri Lanka",64,5,1
"AM Rahane","India","Bangladesh",64,5,2
"R Mutumbami","Zimbabwe","Afghanistan",64,8,0
"DR Smith","West Indies","South Africa",64,9,1
"CJ Chibhabha","Zimbabwe","South Africa",64,10,0
"Q de Kock","South Africa","Zimbabwe",63,8,1
"DPMD Jayawardene","Sri Lanka","Pakistan",63,8,0
"F Behardien","South Africa","Australia",63,7,2
"BRM Taylor","Zimbabwe","Bangladesh",63,7,0
"KC Sangakkara","Sri Lanka","England",63,7,0
"Shakib Al Hasan","Bangladesh","Afghanistan",63,6,1
"HDRL Thirimanne","Sri Lanka","England",62,7,0
"GC Wilson","Ireland","West Indies",62,3,0
"Fawad Alam","Pakistan","Sri Lanka",62,7,0
"Mohammad Hafeez","Pakistan","Sri Lanka",62,11,0
"V Kohli","India","West Indies",62,5,0
"SK Raina","India","West Indies",62,5,2
"Mohammad Shahzad","U.A.E","Afghanistan",62,6,2
"EJG Morgan","England","Sri Lanka",62,4,3
"RD Berrington","Scotland","Afghanistan",62,3,0
"CJA Amini","Papua New Guinea","Hong Kong",61,8,0
"HM Amla","South Africa","West Indies",61,9,0
"DJG Sammy","West Indies","England",61,5,4
"H Masakadza","Zimbabwe","South Africa",61,6,1
"D Ramdin","West Indies","India",61,5,2
"Ahmed Shehzad","Pakistan","Australia",61,5,0
"KC Sangakkara","Sri Lanka","India",61,4,0
"Shahid Afridi","Pakistan","New Zealand",61,7,1
"HDRL Thirimanne","Sri Lanka","England",60,2,1
"Mominul Haque","Bangladesh","Sri Lanka",60,8,0
"S Dhawan","India","Afghanistan",60,4,1
"Afsar Zazai","Afghanistan","U.A.E.",60,4,0
"MR Marsh","Australia","England",60,7,1
"LRPL Taylor","New Zealand","Pakistan",59,4,0
"Imrul Kayes","Bangladesh","Pakistan",59,5,2
"Shahid Afridi","Pakistan","Bangladesh",59,2,7
"Umar Akmal","Pakistan","Sri Lanka",59,7,0
"Mushfiqur Rahim","Bangladesh","India",59,3,3
"F du Plessis","South Africa","Zimbabwe",59,4,0
"JJ Atkinson","Honk Kong","P.N.G.",59,5,0
"HDRL Thirimanne","Sri Lanka","India",59,7,1
"AT Rayudu","India","Sri Lanka",59,8,1
"MDKJ Perera","Sri Lanka","England",59,5,1
"Umar Akmal","Pakistan","West Indies",59,5,1
"JP Duminy","South Africa","New Zealand",58,3,2
"AT Rayudu","India","Pakistan",58,4,1
"AD Mathews","Sri Lanka","South Africa",58,5,1
"CH Gayle","West Indies","Bangladesh",58,3,5
"MM Ali","England","Sri Lanka",58,2,5
"AP Devcich","New Zealand","Pakistan",58,8,0
"MJ Guptill","New Zealand","Pakistan",58,7,0
"Misbah-ul-Haq","Pakistan","New Zealand",58,4,2
"AB de Villiers","South Africa","Australia",57,6,2
"KOA Powell","West Indies","Ireland",57,7,0
"D Ramdin","West Indies","South Africa",57,4,1
"KS Williamson","New Zealand","Sri Lanka",57,5,1
"KJ O'Brien","Ireland","Scotland",56,7,1
"JWA Taylor","England","India",56,4,0
"RG Sharma","India","Pakistan",56,7,2
"AM Rahane","India","Afghanistan",56,5,0
"AN Cook","England","Sri Lanka",56,3,0
"Javed Ahmadi","Afghanistan","Zimbabwe",56,7,1
"Shafiqullah","Afghanistan","Zimbabwe",56,3,2
"Ahmed Shehzad","Pakistan","Sri Lanka",56,6,0
"DA Warner","Australia","Pakistan",56,6,1
"MW Machan","Scotland","New Zealand",56,7,1
"AD Mathews","Sri Lanka","Pakistan",55,5,1
"JC Buttler","England","Sri Lanka",55,9,0
"LD Chandimal","Sri Lanka","England",55,2,1
"DR Smith","West Indies","Ireland",55,5,3
"MM Ali","England","West Indies",55,3,1
"Usman Ghani","Afghanistan","U.A.E.",55,5,2
"F du Plessis","South Africa","Zimbabwe",55,3,0
"SC Williams","Zimbabwe","South Africa",55,3,2
"Tamim Iqbal","Bangladesh","West Indies",55,9,0
"Anshuman Rath","Honk Kong","P.N.G.",55,6,0
"Babar Hayat","Honk Kong","P.N.G.",55,7,1
"DPMD Jayawardene","Sri Lanka","England",55,5,0
"JE Root","England","Sri Lanka",55,4,0
"Shahid Afridi","Pakistan","New Zealand",55,6,3
"Ahmed Shehzad","Pakistan","New Zealand",55,8,0
"GJ Bailey","Australia","England",55,3,0
"F du Plessis","South Africa","India",55,5,0
"Mohammad Nabi","Afghanistan","Zimbabwe",54,3,3
"AJ Finch","Australia","South Africa",54,5,0
"VV Morea","Papua New Guinea","Hong Kong",54,3,1
"BRM Taylor","Zimbabwe","Bangladesh",54,4,1
"NLTC Perera","Sri Lanka","England",54,7,1
"Ahmed Shehzad","Pakistan","New Zealand",54,2,0
"KS Williamson","New Zealand","Sri Lanka",54,4,0
"Asghar Stanikzai","Afghanistan","Sri Lanka",54,5,1
"E Chigumbura","Zimbabwe","Bangladesh",53,4,2
"JH Davey","Scotland","Afghanistan",53,5,0
"Babar Hayat","Honk Kong","Afghanistan",53,6,2
"Noor Ali Zadran","Afghanistan","U.A.E.",53,5,0
"DPMD Jayawardene","Sri Lanka","England",53,4,0
"BRM Taylor","Zimbabwe","Afghanistan",53,3,0
"DM Bravo","West Indies","Bangladesh",53,2,1
"AT Rayudu","India","England",53,3,2
"TM Dilshan","Sri Lanka","India",53,7,0
"V Kohli","India","Sri Lanka",53,4,1
"DA Warner","Australia","South Africa",53,6,2
"Khurram Khan","U.A.E","Afghanistan",53,5,0
"RA Jadeja","India","Pakistan",52,4,2
"E Chigumbura","Zimbabwe","Australia",52,4,0
"Mirwais Ashraf","Afghanistan","U.A.E.",52,2,3
"Nasir Jamal","Afghanistan","Scotland",52,6,0
"Mohammad Hafeez","Pakistan","Bangladesh",52,8,0
"Shakib Al Hasan","Bangladesh","India",52,4,1
"RG Sharma","India","England",52,4,1
"MS Dhoni","India","England",52,6,0
"SK Raina","India","Sri Lanka",52,4,3
"HDRL Thirimanne","Sri Lanka","India",52,2,1
"AB de Villiers","South Africa","Australia",52,6,1
"MS Wade","Australia","South Africa",52,4,1
